title,link
(여자)아이들((G)I-DLE) - 'Paradise' & '어린 어른' Recording Behind (ENG/CHN),https://www.youtube.com/watch?v=_5EOmPP9qwM
(여자)아이들((G)I-DLE) - I-LOG #21 민니의 작업실 브이로그 🎧 | (ENG/CHN),https://www.youtube.com/watch?v=dcn9yDyDZ0o
(여자)아이들((G)I-DLE) - I-TALK #127 : '퀸카 (Queencard)' M/V 촬영 비하인드 PART 2 (ENG/CHN),https://www.youtube.com/watch?v=4Btl-X89kBY
2023 (G)I-DLE WORLD TOUR [I am FREE-TY] SPOT,https://www.youtube.com/watch?v=_NCMWptDQFg
(여자)아이들((G)I-DLE) - I-TALK #126 : 2023 신한은행 SOL KBO리그 시구&시타 비하인드 ⚾ (ENG/CHN),https://www.youtube.com/watch?v=w0TQ51nnM5c
(여자)아이들((G)I-DLE) - M/V Bloopers : [I feel],https://www.youtube.com/watch?v=Nzs9Liewjo8
(여자)아이들((G)I-DLE) - 'Allergy' Special Performance Video,https://www.youtube.com/watch?v=SWC8DXoV7ts
(여자)아이들((G)I-DLE) - I-TALK #125 : ‘퀸카 (Queencard)’ M/V 촬영 비하인드 PART 1 (ENG/CHN),https://www.youtube.com/watch?v=jgtYt_k5tYg
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' @ KOOKMIN UNIVERSITY,https://www.youtube.com/watch?v=pz1iMo5pQcg
(여자)아이들((G)I-DLE) - 'Allergy' @ KOOKMIN UNIVERSITY,https://www.youtube.com/watch?v=je9vk7qIM7A
(여자)아이들((G)I-DLE) - 'TOMBOY' @ KOOKMIN UNIVERSITY,https://www.youtube.com/watch?v=ZHJPJleCa5M
(여자)아이들((G)I-DLE) - 6th Mini Album [I feel] Audio Snippet 촬영 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=EJ-Gb-ljxdM
(여자)아이들((G)I-DLE) - 'Allergy' LIVE CLIP,https://www.youtube.com/watch?v=PITjb4VZHpQ
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' M/V (Performance Ver.),https://www.youtube.com/watch?v=AKg_9dn_VmA
(여자)아이들((G)I-DLE) - 'Allergy' @ HANYANG UNIVERSITY,https://www.youtube.com/watch?v=ZqL9SCPGrTA
(여자)아이들((G)I-DLE) - 'MY BAG' @ HANYANG UNIVERSITY,https://www.youtube.com/watch?v=4OV_zNx54Ho
(여자)아이들((G)I-DLE) - 'LATATA' @ HANYANG UNIVERSITY,https://www.youtube.com/watch?v=-mDVfE5NeK0
(여자)아이들((G)I-DLE) - 'TOMBOY' @ KYUNG HEE UNIVERSITY,https://www.youtube.com/watch?v=hfBPHLBxZro
(여자)아이들((G)I-DLE) - 'LATATA' @ KYUNG HEE UNIVERSITY,https://www.youtube.com/watch?v=IVAXcw0qH_c
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' @ KOREA UNIVERSITY,https://www.youtube.com/watch?v=tOID3CTHBHg
(여자)아이들((G)I-DLE) - 'TOMBOY' @ KOREA UNIVERSITY,https://www.youtube.com/watch?v=qYpPn5CudRw
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' Recording Behind (ENG/CHN),https://www.youtube.com/watch?v=wg7AL7inFTE
[#HASHTALK] EP.24 You wanna be the 퀸카 (Feat. 소연의 퀸카 박스 제작기 👑🎀) (ENG/CHN)ㅣ(여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=6jL7U29W5Mk
(여자)아이들((G)I-DLE) - I-TALK #124 : 6th Mini Album [I feel] 재킷 촬영 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=IquoKcN-vU4
[#HASHTALK] EP.23 우기의 좌충우돌 비행기 룸 투어 🙌 (ENG/CHN)ㅣ(여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=Kly9hFFGrb0
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' Choreography Practice Video,https://www.youtube.com/watch?v=pKCaXYYwGjw
(여자)아이들((G)I-DLE) 6th Mini Album [I feel] UNBOXING 👑 (ENG/CHN),https://www.youtube.com/watch?v=PAh2PEsX65U
(여자)아이들((G)I-DLE) Original Series [I feel] 제작 발표회 (ENG/CHN),https://www.youtube.com/watch?v=a3R3KPgP5u4
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' 응원법 (ENG/CHN),https://www.youtube.com/watch?v=NV-pwtijKWg
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' Special Performance Video,https://www.youtube.com/watch?v=P2WN35hWy4A
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' Official Music Video,https://www.youtube.com/watch?v=7HDeem-JaSY
(여자)아이들((G)I-DLE) - Comeback Interview : [I feel] | (ENG/CHN),https://www.youtube.com/watch?v=dFNyiyofGlE
(여자)아이들((G)I-DLE) - 'Allergy' Official Music Video,https://www.youtube.com/watch?v=XZaBkbvteBc
(여자)아이들((G)I-DLE) - I-TALK #123 : 소연의 '방과후 설렘 시즌2' 첫 촬영 & 제작 발표회 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=5a7RDNGdXnU
(여자)아이들((G)I-DLE) - Spoiler Alert : [I feel] #SOYEON,https://www.youtube.com/watch?v=38kvqREhg8k
(여자)아이들((G)I-DLE) - I-LOG #20 소연의 밀라노 브이로그 😎 | (ENG/CHN),https://www.youtube.com/watch?v=nEtSDq6geSc
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 09 - 사랑해요 네버버 💜,https://www.youtube.com/watch?v=IlFh4Zzgh4U
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 08 - 캡쳐 타임 📸,https://www.youtube.com/watch?v=60knHM-d0L8
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 07 - 네버버와의 버킷리스트 ✅,https://www.youtube.com/watch?v=pblTCkuBCHw
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 02 - 칵테일 타임🍸🍹,https://www.youtube.com/watch?v=x4Fib7qx3Gk
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 06 - 12시 땡! 5주년 댄스 타임💃,https://www.youtube.com/watch?v=fNw87YN_y_g
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 05 - 찰떡콩떡 가족같은 아이들,https://www.youtube.com/watch?v=UYKElCRktyE
(여자)아이들((G)I-DLE) - Spoiler Alert : [I feel] #MIYEON,https://www.youtube.com/watch?v=XYIBQAm8iZ4
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 04 - 퀸카=아이들?! 닮은부분 찾기 👀,https://www.youtube.com/watch?v=ofVzUKoKbqY
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 03 - 강렬했던 시구⚾️시타 이야기,https://www.youtube.com/watch?v=mdYmtp7z4k8
[I-LIVE] 🎉축 5주년🎉 HIGHLIGHT 01 - 네버버와 함께했던 5년 되돌아보기 💜,https://www.youtube.com/watch?v=lH7zwkESfwg
(여자)아이들((G)I-DLE) - Spoiler Alert : [I feel] #MINNIE,https://www.youtube.com/watch?v=FZc4wGOf0i4
